step,Grid,LV Main,Residential North,Residential South,Commercial,EV Hub,PV Field
0,1.02,1.0134678659092757,0.9126679924618454,0.8580061957541799,0.9949147308545099,0.9933699392135846,1.01346797689979
1,1.02,1.0135061191489128,0.9146189733937802,0.8608849299857932,0.9949537185423669,0.9934089877487018,1.013506230143616
2,1.02,1.0135246738805086,0.917533738171693,0.8655724132882869,0.9934918698827137,0.9916207094942419,1.013524784877244
3,1.02,1.0134981435513113,0.9175038109137065,0.8655405700929594,0.9924760510948004,0.9906029651378087,1.0134982545451412
4,1.02,1.0134164034746538,0.9135056292393857,0.8589008890849287,0.990903646895877,0.9887023596100536,1.0157865531907715
5,1.02,1.013370328905208,0.9094818058326437,0.8521895598631752,0.9898603353947995,0.9873309391541027,1.0196662918828554
6,1.02,1.0132817080060097,0.9022977375078791,0.8403853217368333,0.988272013017596,0.9854120039210239,1.0257976184413484
7,1.02,1.0131982172796108,0.8937836735957035,0.8261466724595925,0.9871808647671138,0.9836632397387067,1.0333858788802497
8,1.02,1.013097774430377,0.8837353873825705,0.8091274482204069,0.9855669681269114,0.9813871323206474,1.0430949256798008
9,1.02,1.0130361985734837,0.876685213704056,0.7969094969503544,0.9829734033019225,0.9777935090554808,1.0533992967245334
10,1.02,1.0130283716180923,0.8727321887923041,0.7888941809641318,0.9799105253205288,0.9737201309265945,1.0642808644730306
11,1.02,1.0130459200350046,0.8722673359700757,0.7865487036266777,0.97530642661175,0.9677512547395443,1.0749762088730404
12,1.02,1.0131344546393928,0.8764250809802587,0.7912120573167787,0.9696863802509931,0.9607397653010212,1.0862309756251098
13,1.02,1.013178835201194,0.8814726362054875,0.7968645206618331,0.9623496657046181,0.9516310076918736,1.0965512996141098
14,1.02,1.0132963068466039,0.8920340081406318,0.8113039941450123,0.9538676899441235,0.9409810657387297,1.1067607544657818
15,1.02,1.0133420931571695,0.901022179477567,0.822998523609719,0.9445542248608697,0.9290841618143316,1.1160772191451813
16,1.02,1.013366492063804,0.911741127747172,0.8373535399211364,0.9338350929230539,0.915326933471795,1.1245854461718758
17,1.02,1.0133293570723478,0.9211624249894295,0.850159047439872,0.922698688099382,0.9006818045044901,1.1316413594210524
18,1.02,1.013249030514054,0.930270403404319,0.8625155145152603,0.9111116393760138,0.8850793612157745,1.137309761658069
19,1.02,1.013154701487814,0.9392534198163014,0.8754288344833336,0.8996560801815605,0.8690808082718825,1.1422842931419015
20,1.02,1.012964066153522,0.945282126191664,0.8842718893895712,0.8875792424079834,0.8518627284909381,1.1458816063154085
21,1.02,1.01274404467497,0.9492942206265873,0.8893540328049394,0.8763085764639205,0.8356730368730619,1.1488083030214142
22,1.02,1.0124932436311314,0.9525271721032219,0.894356527191758,0.8651826184003824,0.8194302548937747,1.1504512880197602
23,1.02,1.0122404173014525,0.9548042379580457,0.8975555674866178,0.8550332772639044,0.8044351397267895,1.1514674907305227
24,1.02,1.0120189911715196,0.9561849956064177,0.8990303790475235,0.8468486902801542,0.792226919872334,1.15189008396125
25,1.02,1.0117253473248826,0.9550607869463962,0.8978296169968855,0.8383786758646568,0.7800188397036023,1.1510078708933726
26,1.02,1.0114788796508594,0.9531728666580935,0.8958126437371674,0.8321915004117139,0.7710709228782097,1.149545362446483
27,1.02,1.011208523066932,0.9493896314656394,0.8902286419109039,0.8267096768393292,0.7632813852630781,1.147435189927508
28,1.02,1.0109386224316352,0.9448555210993972,0.8845922244915094,0.8221763060044854,0.7574074592537843,1.1440665136630526
29,1.02,1.0106292154370293,0.9374494031799474,0.8742737737181469,0.8184577558187747,0.7528717261134081,1.1400152054706696
30,1.02,1.0102602287922002,0.9279459294489011,0.8608008027720991,0.8147662572923361,0.7488256394648714,1.1346149351929096
31,1.02,1.0098384386454822,0.916317332807863,0.8448689124527847,0.8111186960864657,0.745296766609102,1.1284810462312127
32,1.02,1.0093925939189963,0.9020068272297536,0.8240862448052436,0.8091963919478903,0.744135181828758,1.1209695672111435
33,1.02,1.0088841101058943,0.8858902415669769,0.8009090715571007,0.8073324519421532,0.7435131283282175,1.111995617116902
34,1.02,1.008339664730058,0.86767846242272,0.7748747139857096,0.806376851952816,0.744356321039405,1.1021909657259683
35,1.02,1.0077030211944755,0.8464713453514541,0.7437454456511953,0.8054203388794735,0.7456627361108664,1.0914635343885366
36,1.02,1.0070209454874053,0.8229057600417651,0.7087754447951468,0.8053275956784461,0.7483611743517723,1.0805043665666338
37,1.02,1.0062740558666208,0.7958122022820413,0.6679902161776116,0.806852201374122,0.7532401609906587,1.0685749290499735
38,1.02,1.0055551913722665,0.7671043489493695,0.6241320302826281,0.8109565213128513,0.7617378271719226,1.057152945176408
39,1.02,1.0047417585619305,0.7343180862089884,0.5729833323557554,0.8164091744500034,0.7720055540790375,1.0454129878174654
40,1.02,1.0032975859568463,0.6775607403165469,0.47935659307945067,0.8239132048413353,0.7847314784668598,1.0335710033064809
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,1.02,1.0075314702894242,0.7362022147280407,0.5756014198584289,0.9227647509772299,0.9133539293917378,1.0075315806298106
47,1.02,1.008720542606885,0.7632948643252792,0.6178244232190148,0.9404569711798101,0.9340032723784757,1.0087206530774935
