step,Grid,Bus1,Bus2
0,1.02,1.015886660912634,1.0074014180397037
1,1.02,1.015691653188547,1.0072047518184741
2,1.02,1.015495736790964,1.0070071685368196
3,1.02,1.015733618218173,1.0100503350820027
4,1.02,1.0161437229990797,1.014834516579442
5,1.02,1.0161821177418255,1.0136844898363686
6,1.02,1.016162314937798,1.0124733209048271
7,1.02,1.0161811931692282,1.01169649066843
8,1.02,1.015886660912634,1.0074014180397037
9,1.02,1.0156281200538364,1.0039170572931484
