step,Grid,Bus1,Bus2
0,0.0,-150.33474763725945,-150.16820285820404
1,0.0,-150.38640846368511,-150.21979917830146
2,0.0,-150.43808983201072,-150.2714157018659
3,0.0,-150.3756117751636,-150.189199271057
4,0.0,-150.26682910465237,-150.04966562929417
5,0.0,-150.25654648247252,-150.0478011186704
6,0.0,-150.26178586863745,-150.06145352460294
7,0.0,-150.25669530889095,-150.06199486045762
8,0.0,-150.33474763725945,-150.16820285820404
9,0.0,-150.40268694240905,-150.25884210041696
