step,line_0
0,0.02019768359454142
1,0.020197760802902105
2,0.020197838416845654
3,0.013105794698476206
4,0.002040512624887267
5,0.005048803491503796
6,0.00806418342793715
7,0.010078400908117829
8,0.02019768359454142
9,0.02835193820721632
