step,line_0,line_1,line_2,line_3,line_4
0,0.13608532125541967,0.07473447398148543,0.03507792381740259,0.004016913932423028,9.18136042839959e-13
1,0.13342235551306383,0.07358245412267352,0.03507783928405719,0.004016912602628541,9.188064130470145e-13
2,0.12938509931000453,0.07129988017383718,0.038188040478116164,0.0050199116944622145,9.185700674139373e-13
3,0.12938633541451852,0.07130019656625489,0.04026481648142882,0.005019952633328334,9.18660614805832e-13
4,0.13483714866817706,0.0747246155253433,0.043391847750492964,0.006023641580789377,-0.0029930002474259335
5,0.1403768589959192,0.07817857040669285,0.045483855663061505,0.007027988087920057,-0.007950602053213225
6,0.15025472503905773,0.08401138899880235,0.048628533309206294,0.008033055822552291,-0.015804763220324175
7,0.1619886331361411,0.09113468459177886,0.050739686737103135,0.010045116500091326,-0.025491996513966848
8,0.1758259549224979,0.09963924543975548,0.05391127729014224,0.012059990854101001,-0.0378781711873121
9,0.18554284614762132,0.10585139565232252,0.059222269031373544,0.015087628056468766,-0.050968528507224886
10,0.1910274513684487,0.11086134580049632,0.06563376448989416,0.018121880279177598,-0.06472395122392072
11,0.19169640151468512,0.1133454615840367,0.07533436874560535,0.02217822840759614,-0.07821586395979038
12,0.18604139369053554,0.11321211663774335,0.08732174583360836,0.02624761140257123,-0.09233391167283392
13,0.17907459577431106,0.11305361688672898,0.10281483103472432,0.0313533955064261,-0.10532645100826059
14,0.16454067802745997,0.10907551013447911,0.1208718535700799,0.03750935221664278,-0.11809772932464276
15,0.15207982094683606,0.10641964980852565,0.14051311912182865,0.044733332388364966,-0.12982566723728692
16,0.13716932557868652,0.10257479656092307,0.1630515415399799,0.053049790018375106,-0.14055779476185476
17,0.12397138442708511,0.09882544764883394,0.1863187278304595,0.06248663027822522,-0.1495232626321094
18,0.11114316749219814,0.09513941625906824,0.21042134846581984,0.07308040279613234,-0.1567817940471754
19,0.09846947005723755,0.09035400005773891,0.23420260925946632,0.08487297047791069,-0.16317752847333042
20,0.08977435299410402,0.08682113624659879,0.2590438403575645,0.09792452546580874,-0.1679365843530503
21,0.08384868446999526,0.08562411647377922,0.28210902965377593,0.11008424541819409,-0.17187833352613577
22,0.07896881572868406,0.08330774620460493,0.30477781542345,0.12244996361388873,-0.1742294652264461
23,0.07541989563925884,0.08214645611676037,0.3253800617117288,0.13389310068923513,-0.1757896164213382
24,0.07316735415565015,0.08212958490888217,0.3419374885556399,0.14320206292266002,-0.17656484621791504
25,0.07430325608462889,0.0821433148182344,0.3589037829197694,0.15150796661284133,-0.17577027720642546
26,0.07657277006460063,0.0821665019379141,0.3712088567645437,0.1575280232228985,-0.17419198463390026
27,0.08144384407820213,0.08448426707201183,0.38197614948277114,0.16241687773599794,-0.17182296192901705
28,0.08736054825927406,0.08568482956649887,0.390763579440583,0.16494819062480684,-0.16786652039931305
29,0.09721035750465061,0.08923053323802037,0.39775026756640725,0.16627740239831895,-0.16309455583477964
30,0.10987957584670324,0.09401626413045065,0.4045302433272074,0.16642127099736218,-0.15669039522714695
31,0.12541172701880313,0.09892375262123929,0.41108438853348334,0.16537240932925054,-0.149425238296415
32,0.14461058934599205,0.10639479991143543,0.4139820122823368,0.16306405269603827,-0.140458011140514
33,0.1661935659758614,0.11414743209997517,0.4166018195060676,0.1595685466480388,-0.12972877644185649
34,0.19059219919589518,0.12226914600712974,0.41724174106487455,0.15486803899627186,-0.1180071382072058
35,0.2189457079782353,0.13223109882220976,0.41765474483781634,0.14901534866325472,-0.10524540050679891
36,0.2504270794099222,0.143010293060552,0.4161606491548987,0.1420075255033657,-0.09226306468109029
37,0.2865962924988318,0.15507649666078632,0.41114947129057666,0.13386048525534391,-0.0781583737067346
38,0.3249427346872249,0.1673549699390235,0.4008638242117131,0.12346397583556523,-0.06467962436363477
39,0.3686231561218686,0.18091110790532322,0.38756044769131914,0.1120710672905097,-0.05093737157774733
40,0.4438204117854043,0.20522063305098864,0.36847921676599193,0.09972322750702287,-0.03785740157258862
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,0.37092277383863465,0.1805488669546406,0.17301980083293425,0.02627397077919534,9.076440692404164e-13
47,0.3356264975993639,0.16945763094681437,0.13876846588088834,0.018132466299827257,9.099025377851078e-13
